,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2026-02-10,SRICHA,11.1,11.2,11.0,11.2,11.2,365900,3.1,11.2,53.03245,1.0,0.09999999999999964,0.009009009009008978
2026-02-10,ADVANC,377.0,391.0,375.0,391.0,391.0,13113300,259.0,391.0,29.41609,0.92857,17.0,0.045454545454545456
2026-02-10,MEGA,39.0,39.75,39.0,39.75,39.75,1134900,24.5,39.75,28.85083,0.85714,0.75,0.019230769230769232
2026-02-10,CENTEL,36.75,37.5,36.75,37.25,37.25,4720500,19.5,37.25,25.93321,0.78571,0.5,0.013605442176870748
2026-02-10,SCGP,20.8,20.8,20.4,20.7,20.7,8789300,11.2,21.0,23.77717,0.71429,0.09999999999999787,0.004854368932038731
2026-02-10,KKP,73.0,73.0,71.5,71.75,71.75,4428800,44.0,73.0,22.93333,0.64286,-0.75,-0.010344827586206896
2026-02-10,DUSIT,11.8,12.0,11.6,11.9,11.9,525000,7.25,15.6,21.05756,0.57143,0.09999999999999964,0.00847457627118641
2026-02-10,KTB,30.25,30.5,30.0,30.25,30.25,46092600,20.1,30.25,20.56954,0.5,0.0,0.0
2026-02-10,CPN,62.5,63.0,62.0,62.0,62.0,6450600,41.25,62.0,18.26402,0.42857,0.0,0.0
2026-02-10,TOA,15.0,15.1,14.8,14.9,14.9,1166800,9.45,15.5,18.21119,0.35714,-0.09999999999999964,-0.006666666666666643
