,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2026-08-17,TCAP,87.5,88.25,85.75,86.25,86.25,7875100,49.75,89.25,44.83253,1.0,-1.25,-0.014285714285714285
2026-08-17,KKP,108.0,111.0,108.0,109.5,109.5,5900400,56.75,120.0,41.69615,0.94118,1.0,0.009216589861751152
2026-08-17,SCGP,30.5,30.5,29.75,30.25,30.25,8069100,15.0,32.0,41.22645,0.88235,-0.25,-0.00819672131147541
2026-08-17,CRC,27.25,29.25,27.0,29.25,29.25,58119600,16.7,29.25,39.39347,0.82353,3.5,0.13592233009708737
2026-08-17,KTB,43.75,44.25,43.75,44.0,44.0,18335900,24.0,45.5,37.33748,0.76471,0.25,0.005714285714285714
2026-08-17,AOT,65.0,66.25,64.75,66.0,66.0,50028400,36.0,66.0,28.88159,0.70588,1.0,0.015384615384615385
2026-08-17,KBANK,249.0,251.0,248.0,249.0,249.0,6393700,162.5,252.0,26.4649,0.64706,1.0,0.004032258064516129
2026-08-17,BA,19.4,19.5,19.2,19.4,19.4,4908900,12.7,19.7,25.92898,0.58824,0.0,0.0
2026-08-17,MBK,23.3,23.7,22.9,23.0,23.0,2344100,16.4,24.2,24.27199,0.52941,-0.3000000000000007,-0.012875536480686725
2026-08-17,KTC,37.25,38.25,37.25,38.0,38.0,11133700,24.8,40.5,23.69183,0.47059,0.5,0.013333333333333334
2026-08-17,TQM,16.5,16.9,16.5,16.6,16.6,560000,10.8,17.3,23.32119,0.41176,0.20000000000000284,0.012195121951219686
2026-08-17,STA,18.8,18.9,18.0,18.5,18.5,18445000,11.2,20.0,22.71971,0.35294,-0.10000000000000142,-0.005376344086021581
