,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2026-09-22,SPRC,14.0,14.3,13.9,14.0,14.0,22591800,4.3,14.2,88.22062,1.0,-0.1999999999999993,-0.014084507042253471
2026-09-22,PTTGC,49.5,49.75,48.75,49.5,49.5,25316200,19.1,50.75,62.44302,0.92308,1.5,0.03125
2026-09-22,AMATA,33.5,34.25,33.0,33.5,33.5,5299500,14.1,33.5,57.75728,0.84615,0.25,0.007518796992481203
2026-09-22,KKP,117.5,118.5,116.5,116.5,116.5,5276900,57.5,120.0,39.74634,0.76923,-1.0,-0.00851063829787234
2026-09-22,CRC,30.25,30.25,29.5,29.75,29.75,3897700,16.7,30.75,36.10737,0.69231,-0.5,-0.01652892561983471
2026-09-22,IVL,29.5,29.5,28.75,29.0,29.0,16753000,14.8,30.0,34.71409,0.61538,-0.25,-0.008547008547008548
2026-09-22,TCAP,84.25,84.5,83.25,83.75,83.75,2702900,49.75,89.25,31.86774,0.53846,-0.75,-0.008875739644970414
2026-09-22,KTB,45.0,45.25,44.75,45.0,45.0,41673900,24.3,45.5,31.80907,0.46154,-0.5,-0.01098901098901099
2026-09-22,CENTEL,43.25,44.5,42.75,44.5,44.5,2875600,29.25,44.5,25.38221,0.38462,1.0,0.022988505747126436
2026-09-22,KBANK,258.0,259.0,256.0,257.0,257.0,9465200,163.0,258.0,24.12746,0.30769,-1.0,-0.003875968992248062
