,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2023-02-07,BBIK,132.0,133.0,129.0,131.0,131.0,404017,49.5,139.5,49.62183,1.0,0.5,0.0038314176245210726
2023-02-07,THCOM,16.1,16.2,15.9,16.1,16.1,5819119,8.35,16.9,46.58256,0.92857,0.0,0.0
2023-02-07,SNNP,24.7,26.0,24.7,25.5,25.5,9196333,14.3,25.5,41.32309,0.85714,0.8999999999999986,0.03658536585365848
2023-02-07,TKN,11.4,11.7,11.3,11.6,11.6,6892972,6.8,12.4,34.05834,0.78571,0.1999999999999993,0.017543859649122744
2023-02-07,CPANEL,11.0,11.1,10.9,11.0,11.0,578961,5.45,12.4,30.4712,0.71429,-0.09999999999999964,-0.009009009009008978
2023-02-07,ZEN,17.5,18.4,17.5,18.3,18.3,1457528,11.2,18.5,28.47832,0.64286,0.6999999999999993,0.03977272727272723
2023-02-07,BA,14.6,14.9,14.2,14.9,14.9,8873482,8.95,14.9,27.56949,0.57143,0.40000000000000036,0.027586206896551748
2023-02-07,PR9,19.8,20.1,19.7,20.0,20.0,1248209,11.0,20.299999,25.75832,0.5,0.10000000000000142,0.005025125628140776
2023-02-07,ICHI,12.6,12.7,12.4,12.5,12.5,2843968,7.25,12.5,22.44611,0.42857,0.0,0.0
2023-02-07,AH,33.0,33.25,32.5,32.75,32.75,1626885,19.5,35.25,22.13102,0.35714,-0.25,-0.007575757575757576
