,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2023-02-01,DELTA,906.0,918.0,896.0,898.0,898.0,1772063,292.0,930.0,79.62432,1.0,-2.0,-0.0022222222222222222
2023-02-01,Q-CON,10.7,11.0,10.7,10.8,10.8,417501,5.0,11.4,72.12909,0.94118,0.10000000000000142,0.009345794392523497
2023-02-01,BBIK,135.0,138.0,135.0,136.5,136.5,274770,49.5,138.5,57.5388,0.88235,1.0,0.007380073800738007
2023-02-01,TKN,11.6,12.1,11.5,11.9,11.9,10170683,6.8,12.4,38.97606,0.82353,0.3000000000000007,0.025862068965517303
2023-02-01,CPANEL,11.2,11.3,11.2,11.3,11.3,219368,5.45,12.4,34.8177,0.76471,0.10000000000000142,0.008928571428571556
2023-02-01,SNNP,23.6,24.1,23.3,24.1,24.1,4701622,14.3,24.6,34.42413,0.70588,0.5,0.0211864406779661
2023-02-01,BE8,64.25,66.75,64.25,66.75,66.75,4724130,30.5,66.75,30.16003,0.64706,2.75,0.04296875
2023-02-01,PR9,19.9,20.5,19.8,20.3,20.3,2685679,11.0,20.3,28.77297,0.58824,0.3000000000000007,0.015000000000000036
2023-02-01,SPA,11.9,11.9,11.6,11.8,11.8,1984049,6.45,12.3,26.99956,0.52941,-0.09999999999999964,-0.008403361344537785
2023-02-01,BA,14.6,14.7,14.2,14.6,14.6,2356423,8.95,14.6,25.78277,0.47059,0.0,0.0
2023-02-01,JWD,21.5,21.6,21.2,21.4,21.4,3092671,12.8,22.0,19.32355,0.41176,-0.10000000000000142,-0.00465116279069774
2023-02-01,NSL,23.0,23.2,22.8,23.1,23.1,485608,15.2,24.1,19.05795,0.35294,0.20000000000000284,0.008733624454148596
