,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-06-16,GFPT,17.9,18.1,17.4,17.9,17.9,13417210,10.8,17.9,37.15776,1.0,0.0,0.0
2022-06-16,PTTEP,168.5,170.0,166.0,166.0,166.0,16338807,100.5,174.0,27.07902,0.875,-3.0,-0.01775147928994083
2022-06-16,SPRC,12.6,12.8,12.3,12.5,12.5,34999609,7.85,13.3,26.0251,0.75,-0.1999999999999993,-0.015748031496062936
2022-06-16,KTB,16.0,16.0,15.5,15.5,15.5,58538878,10.0,15.8,21.70452,0.625,-0.3000000000000007,-0.018987341772151944
2022-06-16,PR9,14.2,14.5,13.9,14.1,14.1,3126479,9.95,15.3,19.77305,0.5,-0.09999999999999964,-0.007042253521126736
2022-06-16,GGC,14.9,14.9,14.2,14.6,14.6,762296,10.0,15.1,16.42074,0.375,-0.3000000000000007,-0.02013422818791951
