,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2021-12-08,WICE,14.7,14.8,14.1,14.2,14.2,9609400,4.82,14.6,59.4918,1.0,-0.3000000000000007,-0.02068965517241384
2021-12-08,MFEC,10.3,10.5,10.1,10.4,10.4,4076600,4.76,11.5,48.1159,0.93333,0.20000000000000107,0.01960784313725501
2021-12-08,HANA,94.0,94.5,93.5,93.75,93.75,2975600,38.25,95.25,43.30068,0.86667,0.75,0.008064516129032258
2021-12-08,III,13.1,13.3,12.9,12.9,12.9,18127500,5.8,14.6,35.7924,0.8,-0.09999999999999964,-0.007692307692307665
2021-12-08,KCE,92.75,93.0,92.0,92.0,92.0,7585900,39.0,93.0,34.28361,0.73333,0.0,0.0
2021-12-08,JMT,58.5,59.75,58.25,58.75,58.75,4588900,30.04069,60.25,34.17593,0.66667,0.0,0.0
2021-12-08,SKR,12.3,12.7,12.3,12.7,12.7,674100,6.4,13.6,33.7993,0.6,0.3999999999999986,0.03252032520325192
2021-12-08,EA,82.75,85.0,82.5,83.75,83.75,18179700,44.0,83.75,33.68681,0.53333,1.75,0.021341463414634148
2021-12-08,SINGER,47.5,48.5,47.25,47.5,47.5,2059000,16.667252,49.0,27.84186,0.46667,0.0,0.0
2021-12-08,FSMART,12.3,12.3,11.7,11.9,11.9,5561400,6.7,13.4,26.09833,0.4,-0.29999999999999893,-0.024590163934426142
2021-12-08,RBF,20.4,21.4,20.4,21.1,21.1,12947700,8.55,23.299999,25.94405,0.33333,0.6000000000000014,0.029268292682926897
