,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2021-12-21,FORTH,21.299999,22.200001,20.9,21.9,21.9,4018100,5.8,21.9,100.70174,1.0,0.6999989999999983,0.03301881919722543
2021-12-21,SIS,45.25,46.0,44.5,45.75,45.75,538400,17.5,46.25,51.87288,0.94118,1.25,0.028089887640449437
2021-12-21,ASK,44.5,46.75,44.0,45.5,45.5,3047200,18.51914,45.5,50.67841,0.88235,2.0,0.04597701149425287
2021-12-21,LEO,14.0,14.1,13.0,13.1,13.1,34546200,5.5,13.7,43.19102,0.82353,-0.5999999999999996,-0.04379562043795618
2021-12-21,SYNEX,32.0,34.5,32.0,33.75,33.75,4676300,14.6,33.75,42.59799,0.76471,1.75,0.0546875
2021-12-21,TKS,12.363638,13.000001,12.363638,13.000001,13.000001,9054979,5.500001,13.09091,42.19158,0.70588,0.6363629999999993,0.05147052995242981
2021-12-21,HANA,91.25,91.75,89.75,90.25,90.25,3212100,38.25,95.25,34.44146,0.64706,-0.25,-0.0027624309392265192
2021-12-21,KCE,89.25,89.75,88.0,88.75,88.75,6154700,39.0,93.0,26.44263,0.58824,0.25,0.002824858757062147
2021-12-21,FSMART,12.1,12.2,11.9,12.0,12.0,2230300,6.7,13.4,25.11383,0.52941,-0.09999999999999964,-0.008264462809917326
2021-12-21,DTAC,44.5,44.75,44.0,44.25,44.25,4769300,29.0,46.0,24.00558,0.47059,-0.25,-0.0056179775280898875
2021-12-21,THG,36.0,36.0,35.75,36.0,36.0,841100,24.9,36.0,22.9201,0.41176,0.0,0.0
2021-12-21,MEGA,51.75,52.0,51.0,51.25,51.25,2069400,33.25,55.5,21.59345,0.35294,-0.25,-0.0048543689320388345
