,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-02-07,SABUY,30.25,30.75,29.5,30.5,30.5,6943900,2.08,36.75,250.46782,1.0,0.5,0.016666666666666666
2022-02-07,IMH,18.299999,19.299999,18.299999,19.1,19.1,4532600,2.1,19.799999,144.71189,0.92857,1.0,0.055248618784530384
2022-02-07,III,16.4,16.5,16.0,16.1,16.1,5667200,6.45,18.299999,44.29279,0.85714,-0.19999899999999826,-0.012269878053366646
2022-02-07,LEO,14.9,15.0,14.6,14.9,14.9,1832300,6.0,17.6,44.08087,0.78571,-0.09999999999999964,-0.006666666666666643
2022-02-07,TOG,10.3,10.4,10.1,10.2,10.2,692400,3.58,12.4,41.01558,0.71429,-0.20000000000000107,-0.019230769230769332
2022-02-07,JWD,20.0,20.1,19.5,19.5,19.5,5741400,8.2,23.200001,38.80047,0.64286,-0.2999989999999997,-0.015151465411690157
2022-02-07,ASK,48.75,48.75,47.0,47.0,47.0,1490100,18.51914,49.0,38.79428,0.57143,-1.0,-0.020833333333333332
2022-02-07,THG,41.75,41.75,41.25,41.75,41.75,636300,24.9,41.75,34.96979,0.5,0.0,0.0
2022-02-07,GULF,51.0,51.25,50.0,50.0,50.0,31662500,32.25,52.0,28.02711,0.42857,-1.0,-0.0196078431372549
2022-02-07,SKR,13.2,13.2,13.1,13.2,13.2,297200,6.45,13.6,24.90736,0.35714,0.0,0.0
