,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2026-01-05,DUSIT,11.3,12.4,11.3,11.9,11.9,3142000,7.25,15.6,22.51556,1.0,1.0,0.09174311926605504
2026-01-05,KKP,68.0,68.75,67.5,68.75,68.75,5487700,44.0,68.75,21.28034,0.83333,0.75,0.011029411764705883
2026-01-05,KTB,28.5,28.75,28.25,28.75,28.75,64612600,20.1,29.5,17.88494,0.66667,0.5,0.017699115044247787
2026-01-05,SAT,14.7,14.8,14.6,14.7,14.7,1312200,10.1,14.7,17.50836,0.5,0.0,0.0
2026-01-05,TOA,13.8,14.5,13.6,14.3,14.3,4132800,9.45,15.5,15.03938,0.33333,0.7000000000000011,0.0514705882352942
