,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-06-09,FSMART,20.200001,20.799999,20.1,20.6,20.6,2920354,9.2,26.75,62.16531,1.0,0.3999990000000011,0.01980192971277581
2022-06-09,THIP,46.25,47.0,46.25,47.0,47.0,73671,30.0,47.0,36.52674,0.92308,1.0,0.021739130434782608
2022-06-09,PTTEP,172.5,178.5,172.0,174.0,174.0,17543260,100.5,174.0,34.12693,0.84615,4.0,0.023529411764705882
2022-06-09,GFPT,17.1,17.200001,16.700001,17.200001,17.200001,6132804,10.8,17.200001,33.2623,0.76923,0.1000009999999989,0.0058480116959063674
2022-06-09,SAPPE,34.5,35.25,33.75,35.0,35.0,1814366,24.1,36.0,27.24517,0.69231,0.25,0.007194244604316547
2022-06-09,PR9,14.3,14.8,14.3,14.6,14.6,2243723,9.95,15.3,24.99689,0.61538,0.40000000000000036,0.028169014084507067
2022-06-09,KTB,15.5,15.9,15.5,15.8,15.8,108023255,10.0,15.8,24.97677,0.53846,0.40000000000000036,0.025974025974025997
2022-06-09,SMPC,16.1,16.1,15.5,15.5,15.5,841636,10.5,16.0,23.24032,0.46154,-0.5,-0.03125
2022-06-09,BH,176.5,180.0,174.5,178.0,178.0,5510718,117.5,178.0,20.17983,0.38462,2.0,0.011363636363636364
2022-06-09,HUMAN,12.6,13.6,12.6,13.5,13.5,19652958,9.0,15.7,20.15215,0.30769,1.0999999999999996,0.0887096774193548
