,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-12-06,SISB,19.3,20.0,19.1,19.9,19.9,2042069,9.0,20.5,54.04902,1.0,0.5,0.025773195876288662
2022-12-06,SPA,11.1,11.5,11.0,11.2,11.2,6318276,6.45,11.8,30.34279,0.875,0.3999999999999986,0.0370370370370369
2022-12-06,ZEN,16.7,16.8,16.6,16.6,16.6,352302,11.2,17.799999,24.47796,0.75,-0.29999999999999716,-0.017751479289940662
2022-12-06,BA,13.4,13.6,13.1,13.6,13.6,2251699,8.95,14.1,23.86649,0.625,0.1999999999999993,0.014925373134328304
2022-12-06,MBK,18.2,18.5,18.1,18.4,18.4,2953425,11.7,19.200001,22.56087,0.5,0.1000009999999989,0.005464535817734138
2022-12-06,SNNP,20.5,20.5,19.9,20.0,20.0,8521267,10.9,21.0,20.54781,0.375,-0.6000000000000014,-0.029126213592233077
