,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2021-12-23,OTO,12.6,12.7,12.3,12.7,12.7,5749600,2.676197,13.6,172.63755,1.0,0.1999999999999993,0.015999999999999945
2021-12-23,AS,23.6,24.5,23.200001,23.4,23.4,25014000,5.75,24.700001,95.63931,0.9375,0.1000009999999989,0.004291888596218347
2021-12-23,FORTH,22.0,22.9,20.9,21.200001,21.200001,9158500,5.9,21.9,92.44441,0.875,-0.5,-0.02304147359255882
2021-12-23,YGG,10.82949309,10.98310292,10.67588326,10.75268817,10.75268817,5591439,4.39324117,11.3671275,54.85544,0.8125,0.0,0.0
2021-12-23,SIS,47.0,47.0,44.5,45.25,45.25,1163200,17.5,46.5,48.96085,0.75,-1.25,-0.026881720430107527
2021-12-23,LEO,13.5,13.6,13.3,13.6,13.6,5321900,5.55,13.7,47.63689,0.6875,0.29999999999999893,0.022556390977443528
2021-12-23,HANA,90.5,92.25,90.5,90.75,90.75,5574900,38.75,95.25,34.23104,0.625,0.5,0.00554016620498615
2021-12-23,SKR,13.0,13.0,12.8,13.0,13.0,165000,6.4,13.6,33.78132,0.5625,0.0,0.0
2021-12-23,KCE,90.0,90.75,89.5,90.0,90.0,5585100,40.25,93.0,27.33916,0.5,0.5,0.00558659217877095
2021-12-23,DTAC,44.25,46.0,44.25,45.5,45.5,23012100,29.0,46.0,27.16584,0.4375,1.25,0.02824858757062147
2021-12-23,THG,36.0,36.5,35.75,36.5,36.5,1378200,24.9,36.5,24.25294,0.375,0.5,0.013888888888888888
2021-12-23,FSMART,12.7,12.7,11.9,11.9,11.9,9388100,6.8,13.4,23.48076,0.3125,-0.6999999999999993,-0.055555555555555504
