,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2023-08-09,KAMART,14.9,15.1,14.6,14.9,14.9,4265823,4.54,14.9,78.13216,1.0,0.09999999999999964,0.006756756756756733
2023-08-09,SAPPE,88.25,90.5,87.5,88.5,88.5,834126,36.25,93.25,57.59646,0.85714,0.5,0.005681818181818182
2023-08-09,XO,23.700001,24.1,23.6,23.9,23.9,1276680,11.5,24.700001,55.02154,0.71429,0.3999999999999986,0.01702127659574462
2023-08-09,ICHI,14.5,14.6,14.3,14.6,14.6,3519071,8.1,15.3,21.14275,0.57143,0.09999999999999964,0.006896551724137907
2023-08-09,TKN,11.8,11.9,11.5,11.9,11.9,8248968,6.8,12.4,21.13703,0.42857,0.09999999999999964,0.00847457627118641
