,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2021-12-03,AS,22.4,23.700001,22.299999,23.299999,23.299999,30596200,5.15,23.299999,108.41663,1.0,1.0999979999999994,0.0495494572275019
2021-12-03,YGG,11.29032258,11.3671275,10.82949309,10.906298,10.906298,4698592,4.02457757,11.3671275,66.26059,0.95238,-0.3072196700000003,-0.02739726097029464
2021-12-03,WICE,13.6,14.3,13.6,13.9,13.9,11051300,4.82,14.6,57.39557,0.90476,0.40000000000000036,0.029629629629629655
2021-12-03,LEO,12.2,13.0,12.2,13.0,13.0,30206400,5.5,13.0,46.34387,0.85714,0.8000000000000007,0.06557377049180334
2021-12-03,ASK,41.25,42.5,40.75,42.0,42.0,1518100,18.51914,44.25,43.42417,0.80952,0.75,0.01818181818181818
2021-12-03,HANA,93.0,93.75,91.5,91.5,91.5,3933100,38.25,95.25,40.83149,0.7619,-0.5,-0.005434782608695652
2021-12-03,JMART,49.0,49.5,47.75,47.75,47.75,9760300,16.799999,52.0,38.51116,0.71429,-0.75,-0.015463917525773196
2021-12-03,SO,11.499995,12.249995,11.499995,12.249995,12.249995,1419000,6.31944,12.249995,36.02797,0.66667,0.8333329999999997,0.07299270136927936
2021-12-03,FSMART,12.9,13.1,12.6,12.7,12.7,4161400,6.7,13.4,35.12644,0.61905,-0.10000000000000142,-0.007812500000000111
2021-12-03,III,12.7,13.0,12.5,12.6,12.6,10363400,5.7,14.6,33.44335,0.57143,0.0,0.0
2021-12-03,JMT,58.5,59.25,57.5,57.75,57.75,5075400,30.04069,60.25,32.57419,0.52381,-0.75,-0.01282051282051282
2021-12-03,EA,81.5,83.25,80.5,82.25,82.25,18609200,44.0,82.25,32.00572,0.47619,0.5,0.0061162079510703364
2021-12-03,KCE,90.25,91.5,89.25,89.75,89.75,7788800,39.0,93.0,31.94363,0.42857,0.0,0.0
2021-12-03,SKR,12.3,12.3,12.1,12.3,12.3,196200,6.4,13.6,30.1688,0.38095,0.0,0.0
2021-12-03,MEGA,54.0,54.25,53.25,53.25,53.25,1078200,33.25,55.5,27.85262,0.33333,-0.75,-0.013888888888888888
