,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2026-08-06,SINGER,11.9,12.2,11.9,12.0,12.0,2414500,4.2,13.1,85.12718,1.0,0.0,0.0
2026-08-06,SCGP,31.25,32.0,31.25,31.75,31.75,9652800,15.0,32.0,50.15407,0.95,0.75,0.024193548387096774
2026-08-06,TOP,62.25,64.0,62.25,63.75,63.75,26091300,30.5,65.75,48.50951,0.9,0.75,0.011904761904761904
2026-08-06,PTL,14.4,14.7,14.3,14.7,14.7,923900,7.7,14.8,47.66378,0.85,0.29999999999999893,0.02083333333333326
2026-08-06,AMATA,28.25,28.75,27.5,28.75,28.75,7932600,14.1,29.25,46.85378,0.8,0.5,0.017699115044247787
2026-08-06,BAY,42.25,42.75,42.0,42.0,42.0,1579600,22.8,46.75,46.53075,0.75,-0.25,-0.005917159763313609
2026-08-06,ASK,12.2,12.4,12.2,12.3,12.3,375100,7.05,12.6,40.60518,0.7,0.10000000000000142,0.008196721311475526
2026-08-06,BCP,43.75,44.75,43.0,44.5,44.5,16268800,25.0,45.5,33.89463,0.65,0.25,0.005649717514124294
2026-08-06,JMART,11.1,11.2,10.9,10.9,10.9,6290100,6.0,12.3,32.49568,0.6,-0.1999999999999993,-0.018018018018017955
2026-08-06,RATCH,38.5,39.75,38.25,39.5,39.5,13146100,25.5,39.5,31.06586,0.55,1.0,0.025974025974025976
2026-08-06,KBANK,247.0,254.0,246.0,252.0,252.0,14716700,162.5,252.0,29.48972,0.5,5.0,0.020242914979757085
2026-08-06,GPSC,51.5,52.25,51.25,51.25,51.25,11174600,30.0,54.5,28.82299,0.45,-0.5,-0.00966183574879227
2026-08-06,KTC,39.0,39.25,38.5,39.0,39.0,16799600,24.8,40.5,28.1489,0.4,0.0,0.0
2026-08-06,GULF,66.5,68.0,66.5,67.5,67.5,85106300,39.75,67.75,27.24889,0.35,1.0,0.015037593984962405
