,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-12-09,SISB,20.7,20.7,20.3,20.3,20.3,725588,9.0,20.700001,55.83706,1.0,-0.4000009999999996,-0.019323718873250278
2022-12-09,SPA,11.6,11.7,11.5,11.6,11.6,1106701,6.45,11.8,34.34932,0.83333,0.09999999999999964,0.008695652173913012
2022-12-09,AH,34.0,34.25,33.25,34.0,34.0,1647345,19.5,35.25,30.59773,0.66667,0.0,0.0
2022-12-09,ZEN,16.799999,17.4,16.799999,17.299999,17.299999,531601,11.2,17.799999,29.21163,0.5,0.5,0.02976190653344682
2022-12-09,MBK,18.0,18.1,17.5,17.6,17.6,4584433,11.7,19.200001,16.88892,0.33333,-0.5,-0.027624309392265192
