,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2021-12-28,OTO,12.5,12.5,12.0,12.2,12.2,7259300,2.676197,13.6,158.28608,1.0,-0.3000000000000007,-0.024000000000000056
2021-12-28,AS,23.0,23.1,22.6,22.700001,22.700001,3348900,5.8,24.700001,86.69992,0.94737,-0.19999899999999826,-0.008733580786026126
2021-12-28,FORTH,21.299999,21.5,20.6,20.6,20.6,2129200,5.9,21.9,84.39818,0.89474,-0.6999989999999983,-0.03286380435980294
2021-12-28,IIG,45.0,48.5,45.0,48.0,48.0,1311100,22.5,50.75,56.75194,0.84211,3.0,0.06666666666666667
2021-12-28,YGG,10.75268817,11.3671275,10.75268817,10.98310292,10.98310292,13871508,5.06912442,11.3671275,55.97073,0.78947,0.1536098300000006,0.014184397064886129
2021-12-28,LEO,14.0,14.3,13.8,14.0,14.0,13196500,5.55,14.0,50.43859,0.73684,0.1999999999999993,0.014492753623188354
2021-12-28,SIS,44.75,45.0,42.0,43.25,43.25,690200,17.5,46.5,40.71619,0.68421,-1.25,-0.028089887640449437
2021-12-28,ASK,42.75,43.0,42.5,42.75,42.75,1198300,18.51914,46.0,39.18687,0.63158,0.0,0.0
2021-12-28,HANA,91.0,92.0,90.25,90.75,90.75,4475500,38.75,95.25,32.8769,0.57895,-0.25,-0.0027472527472527475
2021-12-28,SKR,13.0,13.1,12.9,13.0,13.0,404600,6.4,13.6,32.73235,0.52632,0.0,0.0
2021-12-28,AH,28.5,28.5,27.25,27.25,27.25,3775000,15.636366,28.5,26.73961,0.47368,-1.25,-0.043859649122807015
2021-12-28,DTAC,45.25,46.0,45.25,45.25,45.25,4842300,29.0,46.0,26.01443,0.42105,0.0,0.0
2021-12-28,KCE,90.5,91.25,89.5,89.5,89.5,6214800,40.25,93.0,25.40546,0.36842,-0.5,-0.005555555555555556
2021-12-28,THG,36.75,37.0,36.75,37.0,37.0,781100,24.9,37.0,25.38229,0.31579,0.0,0.0
