,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-10-07,SAPPE,44.25,44.25,43.0,44.25,44.25,1278201,24.1,47.75,37.94635,1.0,0.0,0.0
2022-10-07,BH,234.0,234.0,230.0,233.0,233.0,2108944,133.5,233.0,35.68665,0.85714,0.0,0.0
2022-10-07,CENTEL,49.25,50.5,49.0,50.5,50.5,2228876,30.5,50.5,27.38424,0.71429,1.0,0.020202020202020204
2022-10-07,BA,12.3,12.7,12.3,12.6,12.6,8510730,8.95,12.6,20.06677,0.57143,0.1999999999999993,0.016129032258064457
2022-10-07,PTTEP,171.5,173.0,168.5,170.0,170.0,12111213,113.5,174.5,16.97248,0.42857,0.0,0.0
