,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2024-07-08,WPH,12.7,12.8,12.4,12.4,12.4,647000,4.36,13.6,75.53696,1.0,-0.29999999999999893,-0.023622047244094405
2024-07-08,ASIAN,10.3,10.7,10.2,10.5,10.5,2474500,6.0,11.0,36.59934,0.85714,0.1999999999999993,0.01941747572815527
2024-07-08,STP,13.7,14.2,13.7,14.2,14.2,263300,8.35,15.0,33.1258,0.71429,0.5,0.03649635036496351
2024-07-08,NSL,30.75,31.0,30.5,30.75,30.75,595100,17.5,35.0,32.32917,0.57143,0.0,0.0
2024-07-08,BA,20.6,21.0,20.6,21.0,21.0,1805100,13.0,22.4,27.09466,0.42857,0.3999999999999986,0.01941747572815527
