,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-04-05,SO,17.91666,18.166659,17.583326,17.749992,17.749992,1040160,7.333331,18.666659,52.84172,1.0,-0.08333400000000069,-0.0046729365010206554
2022-04-05,SINGER,56.25,56.75,55.25,55.75,55.75,5421600,33.434307,55.75,26.28378,0.90909,0.25,0.0045045045045045045
2022-04-05,WORK,28.5,29.0,28.5,28.5,28.5,742900,18.200001,28.75,24.63895,0.81818,-0.25,-0.008695652173913044
2022-04-05,DTAC,49.75,50.25,48.5,48.75,48.75,8439300,29.0,51.25,22.86163,0.72727,-0.75,-0.015151515151515152
2022-04-05,BEC,16.799999,16.9,16.6,16.6,16.6,2491200,8.8,17.700001,22.60048,0.63636,-0.1000009999999989,-0.005988083473767391
2022-04-05,SKR,13.8,14.0,13.8,14.0,14.0,355600,7.95,14.1,20.21611,0.54545,0.09999999999999964,0.007194244604316521
2022-04-05,AP,11.0,11.1,10.9,10.9,10.9,7881100,7.55,11.3,18.89918,0.45455,-0.09999999999999964,-0.00909090909090906
2022-04-05,PTTEP,147.0,150.0,146.0,146.0,146.0,15250300,100.5,154.0,18.81468,0.36364,0.5,0.003436426116838488
