,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-05-13,GFPT,15.3,16.200001,15.1,16.200001,16.200001,54000400,10.7,16.200001,29.83862,1.0,1.4000009999999996,0.09459466216216213
2022-05-13,BCP,34.0,34.5,33.5,34.25,34.25,7227800,22.700001,34.75,23.26574,0.83333,0.5,0.014814814814814815
2022-05-13,PTTEP,151.5,152.5,150.0,151.5,151.5,7785300,100.5,154.5,19.86299,0.66667,2.0,0.013377926421404682
2022-05-13,BH,167.0,173.5,165.5,172.0,172.0,7037900,117.5,172.0,18.73661,0.5,6.0,0.03614457831325301
2022-05-13,KTB,14.9,15.0,14.4,14.5,14.5,61989900,10.0,15.2,17.10173,0.33333,-0.3000000000000007,-0.020270270270270316
