,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-11-28,SISB,19.6,19.8,19.2,19.2,19.2,1114124,9.0,20.5,50.9878,1.0,-0.500001000000001,-0.02538076013295639
2022-11-28,ZEN,18.1,18.1,17.3,17.7,17.7,296300,11.2,17.799999,33.82086,0.85714,-0.0999990000000004,-0.0056179216639282055
2022-11-28,SNNP,19.9,20.3,19.8,20.1,20.1,4046221,10.8,21.0,22.93904,0.71429,0.30000100000000174,0.015151566421796372
2022-11-28,MBK,17.7,18.0,17.6,17.9,17.9,1831809,11.7,19.200001,20.04223,0.57143,0.1000009999999989,0.005618034023484995
2022-11-28,PTTEP,185.0,185.5,184.0,184.0,184.0,6813784,113.5,193.5,19.15015,0.42857,-2.5,-0.013404825737265416
