,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-01-14,AS,23.299999,23.299999,22.6,22.6,22.6,6149900,6.25,24.700001,76.11216,1.0,-0.6999989999999983,-0.03004287682587447
2022-01-14,YGG,10.59907834,10.75268817,10.59907834,10.59907834,10.59907834,2989717,5.31489985,11.3671275,44.31006,0.9375,0.0,0.0
2022-01-14,JMART,57.0,57.0,55.75,56.0,56.0,7906300,22.1,59.0,43.83668,0.875,-1.25,-0.021834061135371178
2022-01-14,JMT,67.75,67.75,65.5,66.0,66.0,9327900,34.436888,70.0,39.6633,0.8125,-1.75,-0.025830258302583026
2022-01-14,EA,96.5,96.5,93.25,93.5,93.5,21024800,57.5,99.25,39.13304,0.75,-2.75,-0.02857142857142857
2022-01-14,GULF,49.0,51.5,48.75,50.25,50.25,96399700,32.25,50.25,32.11381,0.6875,1.25,0.025510204081632654
2022-01-14,SKR,13.2,13.3,13.1,13.2,13.2,203200,6.4,13.6,30.81919,0.625,0.0,0.0
2022-01-14,THG,38.0,38.75,38.0,38.75,38.75,2689700,24.9,38.75,29.14502,0.5625,0.75,0.019736842105263157
2022-01-14,SINGER,52.25,52.75,51.25,51.25,51.25,1753700,25.699504,54.25,26.37869,0.5,-1.25,-0.023809523809523808
2022-01-14,DTAC,44.75,46.5,44.75,45.5,45.5,19546400,29.0,46.0,25.1689,0.4375,0.75,0.01675977653631285
2022-01-14,RBF,22.9,22.9,22.6,22.6,22.6,4294100,8.7,23.299999,22.63109,0.375,-0.19999899999999826,-0.008771886349644062
2022-01-14,SNC,18.200001,18.200001,17.799999,17.799999,17.799999,790200,12.2,18.4,22.19333,0.3125,-0.30000100000000174,-0.016574640883977997
