,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2021-12-29,JTS,128.0,131.0,128.0,131.0,131.0,153900,1.83,143.0,1139.91821,1.0,1.5,0.011583011583011582
2021-12-29,OTO,12.1,12.2,11.6,12.1,12.1,4523400,2.676197,13.6,154.96396,0.95833,-0.09999999999999964,-0.00819672131147538
2021-12-29,FORTH,20.5,21.1,20.5,20.9,20.9,1605100,5.95,21.9,86.18179,0.91667,0.29999999999999716,0.014563106796116367
2021-12-29,AS,22.9,22.9,22.1,22.200001,22.200001,5976000,5.8,24.700001,81.59642,0.875,-0.5,-0.02202643074773433
2021-12-29,IIG,49.5,51.0,47.25,48.0,48.0,1322600,22.5,50.75,56.27411,0.83333,0.0,0.0
2021-12-29,LEO,14.2,14.8,14.0,14.6,14.6,12429600,5.8,14.6,56.27006,0.79167,0.5999999999999996,0.04285714285714283
2021-12-29,YGG,11.13671275,11.21351767,9.9078341,10.44546851,10.44546851,23036937,5.06912442,11.3671275,47.78787,0.75,-0.5376344100000008,-0.048951049072023155
2021-12-29,JMT,68.0,68.25,66.5,67.5,67.5,11809300,33.459955,68.0,47.66357,0.70833,0.0,0.0
2021-12-29,EA,93.25,96.25,92.5,96.25,96.25,24210200,49.25,98.0,47.11975,0.66667,3.25,0.03494623655913978
2021-12-29,SYNEX,34.0,35.25,33.75,35.25,35.25,2068100,14.8,35.25,45.47121,0.625,1.5,0.044444444444444446
2021-12-29,ASK,43.0,44.0,42.75,44.0,44.0,754100,18.51914,46.0,42.77234,0.58333,1.25,0.029239766081871343
2021-12-29,SIS,44.25,45.0,43.25,44.0,44.0,896400,17.5,46.5,42.53805,0.54167,0.75,0.017341040462427744
2021-12-29,SKR,13.0,13.1,12.9,13.0,13.0,1500200,6.4,13.6,32.37799,0.5,0.0,0.0
2021-12-29,HANA,91.25,91.25,89.0,89.25,89.25,5366200,39.0,95.25,30.21076,0.45833,-1.5,-0.01652892561983471
2021-12-29,SINGER,51.75,52.25,50.25,50.5,50.5,4427500,25.699504,52.75,28.53175,0.41667,-1.25,-0.024154589371980676
2021-12-29,THG,37.0,37.25,37.0,37.0,37.0,530800,24.9,37.0,25.19188,0.375,0.0,0.0
2021-12-29,DTAC,45.5,45.75,44.75,45.0,45.0,9488800,29.0,46.0,25.18128,0.33333,-0.25,-0.0055248618784530384
