,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-03-24,JMT,69.5,69.75,68.75,69.25,69.25,4260100,39.565787,70.0,32.84638,1.0,-0.5,-0.007168458781362007
2022-03-24,BEC,17.6,17.700001,17.200001,17.200001,17.200001,6915800,8.8,17.700001,29.60773,0.88889,-0.3999990000000011,-0.02272721590909097
2022-03-24,PTTEP,156.0,156.5,153.0,154.0,154.0,17913600,100.5,154.0,26.79793,0.77778,2.0,0.013157894736842105
2022-03-24,DTAC,49.0,49.75,48.5,49.25,49.25,12444400,29.0,51.25,25.68059,0.66667,0.0,0.0
2022-03-24,JMART,55.5,56.0,55.25,55.5,55.5,3208600,31.75,59.0,24.53278,0.55556,-0.25,-0.004484304932735426
2022-03-24,SKR,14.0,14.1,14.0,14.1,14.1,527200,7.8,14.1,23.27419,0.44444,0.09999999999999964,0.0071428571428571175
2022-03-24,SINGER,51.0,52.0,50.5,51.75,51.75,3367100,33.434307,54.25,18.05538,0.33333,0.5,0.00975609756097561
