,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2026-07-22,FORTH,16.1,17.0,15.2,16.6,16.6,25128900,5.45,17.5,93.27575,1.0,0.8000000000000007,0.050632911392405104
2026-07-22,HANA,38.5,39.5,37.25,39.0,39.0,52549800,15.1,40.5,57.33274,0.93333,1.0,0.02631578947368421
2026-07-22,TFG,10.4,10.4,10.1,10.2,10.2,27207600,4.38,11.3,56.35466,0.86667,-0.20000000000000107,-0.019230769230769332
2026-07-22,PTL,14.4,14.6,14.4,14.6,14.6,1082000,7.7,14.8,49.27199,0.8,0.1999999999999993,0.01388888888888884
2026-07-22,SCGP,31.25,32.0,30.25,30.25,30.25,44218400,15.0,30.25,46.18623,0.73333,0.0,0.0
2026-07-22,KTB,42.0,42.0,40.75,41.0,41.0,132010400,21.2,42.5,34.08851,0.66667,-1.5,-0.03529411764705882
2026-07-22,AOT,63.5,63.75,63.0,63.5,63.5,23663400,36.0,64.75,28.03548,0.6,-0.5,-0.0078125
2026-07-22,GULF,67.75,67.75,66.0,66.5,66.5,88313800,39.75,67.75,27.18166,0.53333,-1.25,-0.01845018450184502
2026-07-22,BLA,27.0,27.0,25.75,26.0,26.0,3380100,16.8,27.5,25.49426,0.46667,-1.0,-0.037037037037037035
2026-07-22,TCAP,71.5,72.0,69.5,70.25,70.25,5487900,48.0,74.5,22.81264,0.4,-3.0,-0.040955631399317405
2026-07-22,KBANK,234.0,235.0,231.0,232.0,232.0,23186600,158.0,238.0,21.50568,0.33333,-3.0,-0.01276595744680851
