,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-06-27,GFPT,18.0,18.1,17.5,17.5,17.5,6803672,10.8,18.299999,31.78289,1.0,-0.3999999999999986,-0.02234636871508372
2022-06-27,PR9,14.5,14.9,14.4,14.7,14.7,1274291,9.95,15.3,23.37865,0.85714,0.29999999999999893,0.02083333333333326
2022-06-27,BH,179.0,180.0,177.5,178.5,178.5,2962038,117.5,178.5,18.99002,0.71429,1.0,0.005633802816901409
2022-06-27,SMPC,15.5,15.5,15.0,15.2,15.2,432420,10.5,16.0,18.85068,0.57143,-0.20000000000000107,-0.012987012987013056
2022-06-27,KTB,15.5,15.6,15.3,15.3,15.3,27872248,10.0,15.8,18.79719,0.42857,-0.09999999999999964,-0.0064935064935064705
