,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2022-02-08,SABUY,30.75,32.25,30.25,30.75,30.75,18082100,2.08,36.75,251.96862,1.0,0.25,0.00819672131147541
2022-02-08,III,16.200001,16.9,16.1,16.1,16.1,13272400,6.45,18.299999,44.00413,0.92308,0.0,0.0
2022-02-08,LEO,14.9,15.1,14.8,14.8,14.8,1288100,6.0,17.6,42.88566,0.84615,-0.09999999999999964,-0.00671140939597313
2022-02-08,TOG,10.2,10.5,10.2,10.3,10.3,622800,3.58,12.4,42.18007,0.76923,0.10000000000000142,0.009803921568627591
2022-02-08,JWD,19.700001,20.200001,19.700001,20.0,20.0,5594500,8.2,23.200001,42.12264,0.69231,0.5,0.02564102564102564
2022-02-08,ASK,46.75,47.25,46.75,47.0,47.0,356900,18.51914,49.0,38.64273,0.61538,0.0,0.0
2022-02-08,THG,41.75,42.0,41.5,42.0,42.0,985700,24.9,42.0,35.58054,0.53846,0.25,0.005988023952095809
2022-02-08,GULF,50.0,50.25,49.25,50.0,50.0,29779000,32.25,52.0,27.87962,0.46154,0.0,0.0
2022-02-08,SKR,13.2,13.3,13.1,13.3,13.3,356700,6.45,13.6,25.73029,0.38462,0.10000000000000142,0.0075757575757576835
2022-02-08,DTAC,46.0,47.0,46.0,46.75,46.75,18903600,29.0,48.25,25.27222,0.30769,1.0,0.02185792349726776
