,Ticker,Open,High,Low,Close,Adj Close,Volume,52 Week Min,52 Week Max,RS Rating,RS Rank,Change,Change (%)
2026-09-18,SPRC,13.8,14.2,13.6,14.2,14.2,24369200,4.3,14.2,92.76563,1.0,0.3999999999999986,0.028985507246376708
2026-09-18,AMATA,32.75,33.25,32.25,33.25,33.25,3411000,14.1,33.5,57.36494,0.93333,0.25,0.007575757575757576
2026-09-18,PSL,10.2,11.2,10.2,11.2,11.2,26043300,5.7,11.2,51.0099,0.86667,1.0999999999999996,0.10891089108910888
2026-09-18,RCL,43.0,46.75,43.0,46.75,46.75,11850300,25.0,46.75,48.63412,0.8,3.75,0.0872093023255814
2026-09-18,KKP,118.0,118.5,117.0,118.0,118.0,5746100,57.5,120.0,42.36996,0.73333,0.0,0.0
2026-09-18,CRC,30.0,31.0,30.0,30.75,30.75,15312300,16.7,30.75,41.10227,0.66667,1.0,0.03361344537815126
2026-09-18,TCAP,83.25,84.75,83.25,84.0,84.0,4405900,49.75,89.25,32.88689,0.6,1.0,0.012048192771084338
2026-09-18,KTB,45.0,45.25,44.5,45.0,45.0,115437300,24.3,45.5,32.48806,0.53333,0.0,0.0
2026-09-18,KBANK,254.0,254.0,252.0,253.0,253.0,7529500,162.5,257.0,22.7157,0.46667,0.0,0.0
2026-09-18,CBG,55.5,56.25,55.0,55.75,55.75,7544300,34.25,58.75,22.58375,0.4,0.5,0.00904977375565611
2026-09-18,CENTEL,43.0,43.25,42.75,43.0,43.0,1434600,29.25,44.25,21.50534,0.33333,-0.25,-0.005780346820809248
